Time; AccX; AccY; AccZ; Temp; GyroX; GyroY; GyroZ;
24861; 344; 16344; -1252; 24.44; 3026; 142; -164
24965; 512; 16296; -1092; 24.39; 1954; 367; 3
25068; 360; 16256; -912; 24.34; 2950; 370; -118
25171; 396; 16372; -1092; 24.29; 3678; 112; -275
25275; 476; 16452; -1356; 24.34; 3384; 132; -193
25378; 352; 16316; -1452; 24.39; 3079; 143; -155
25482; 308; 16348; -1324; 24.34; 2524; 168; -96
25585; 416; 16284; -1088; 24.34; 3011; 167; -180
25689; 496; 16332; -1152; 24.29; 3178; 104; -168
25793; 488; 16328; -1324; 24.34; 3186; 178; -174
25896; 396; 16372; -1360; 24.29; 2950; 150; -144
26000; 420; 16440; -1440; 24.34; 2966; 134; -153
26103; 324; 16324; -1284; 24.34; 3008; 169; -187
26207; 440; 16236; -1484; 24.39; 3311; 164; -191
26310; 364; 16360; -1376; 24.34; 2885; 160; -139
26414; 308; 16372; -1168; 24.39; 3111; 87; -190
26517; 368; 16380; -1552; 24.29; 3229; 165; -175
26620; 456; 16356; -1492; 24.34; 3034; 147; -163
26724; 368; 16356; -1368; 24.29; 2581; 4; -136
26827; 296; 16292; -1176; 24.34; 2388; 129; -138
26931; 444; 16352; -972; 24.44; 2917; 102; -239
27035; 380; 16344; -956; 24.34; 2561; 118; -202
27139; 332; 16364; -752; 24.48; 2219; 158; -178
27242; 352; 16252; -736; 24.39; 2664; 58; -276
27345; 324; 16236; -316; 24.44; 2450; 117; -121
27449; 344; 16196; -284; 24.44; 2288; 140; -207
27552; 324; 16348; -204; 24.34; 1952; 140; -267
27656; 472; 16396; 32; 24.39; 765; 140; -327
27759; 272; 16220; 624; 24.34; 598; 76; -375
27863; 252; 16164; 1196; 24.44; 912; 49; -332
27966; 284; 16060; 1728; 24.44; 1215; 94; -353
28069; 224; 16004; 2056; 24.39; 1155; -151; -397
28173; 248; 15908; 2692; 24.39; 636; 90; -351
28276; 68; 15832; 3264; 24.29; -596; 116; -456
28380; 48; 15336; 4156; 24.39; -1800; 55; -483
28483; -4; 14932; 5300; 24.39; -2468; 68; -521
28587; -176; 14392; 6448; 24.34; -1608; -16; -467
28690; -192; 13956; 7280; 24.39; -950; 23; -582
28793; -92; 13364; 8188; 24.44; -1765; 70; -416
28897; -144; 12724; 8992; 24.39; -1534; 95; -470
29000; -156; 12120; 9712; 24.44; -632; 93; -498
29104; -272; 11456; 10224; 24.39; -820; -84; -533
29207; -320; 10816; 10780; 24.39; -1338; -232; -509
29310; -224; 9876; 11676; 24.44; -1537; 164; -301
